 AMERICAN EXPRESS COMPANY;AMERICAN EXPRESS
ALLY FINANCIAL INC.;ALLAY FINANCIAL
ALLY FINANCIAL INC_;ALLAY FINANCIAL
AMERICAN EXPRESS COMPANY;AMERICAN EXPRESS
BANCO BILBAO VIZCAYA ARGENTARIA, S.A.;BANCO BILBAO VIZCAYA ARGENTARIA
BANCO BILBAO VIZCAYA ARGENTARIA, S.A_;BANCO BILBAO VIZCAYA ARGENTARIA
BANCO SANTANDER, S.A.;BANCO SANTANDER
BANCO SANTANDER, S.A_;BANCO SANTANDER
BANK OF AMERICA CORPORATION;BANK OF AMERICA
BANK OF CHINA LIMITED;BANK OF CHINA
BANK OF MONTREAL;BANK OF MONTREAL
BANK OF NEW YORK MELLON CORPORATION;BANK OF NEW YORK MELLON CORPORATION
BANK OF NOVA SCOTIA;BANK OF NOVA SCOTIA
BARCLAYS;BARCLAYS
BARCLAYS BANK PLC;BARCLAYS
BARCLAYS PLC;BARCLAYS
BB_T CORPORATION;BBT
BNP PARIBAS;BNP PARIBAS
BNP PARIBAS USA, INC.;BNP PARIBAS
BPCE;BPCE
CAPITAL ONE FINANCIAL CORPORATION;CAPITAL ONE
CIT GROUP INC.;CITIGROUP
CITIGROUP;CITIGROUP
CITIGROUP INC.;CITIGROUP
CITIGROUP INC_;CITIGROUP
CITIZENS FINANCIAL GROUP;CITIZENS FINANCIAL GROUP
COMERICA INCORPORATED;COMERICA
COOPERATIEVE RABOBANK U.A.;RABOBANK
CREDIT AGRICOLE S.A.;CREDIT AGRICOLE
CREDIT SUISSE;CREDIT SUISSE
CREDIT SUISSE GROUP AG;CREDIT SUISSE
CREDIT SUISSE GROUP, A.G.;CREDIT SUISSE
DEUTSCHE BANK;DEUTSCHE BANK
DEUTSCHE BANK AG;DEUTSCHE BANK
DEUTSCHE BANK AKTIENGESELLSCHAFT;DEUTSCHE BANK
DISCOVER FINANCIAL SERVICES;DISCOVER
FIFTH THIRD BANCORP;FIFTH THIRD
HSBC HOLDINGS PLC;HSBC
HUNTINGTON BANCSHARES INCORPORATED;HUNTINGTON
Huntington Bancshares Incorporated;HUNTINGTON
INDUSTRIAL AND COMMERCIAL BANK OF CHINA;INDUSTRIAL AND COMMERCIAL BANK OF CHINA
JPMORGAN CHASE _ CO;JPMORGAN
JPMORGAN CHASE _ CO.;JPMORGAN
JPMORGAN CHASE _ CO_;JPMORGAN
KEYCORP;KEYCORP
LLOYDS BANKING GROUP PLC;LLOYDS
MITSUBISHI UFJ FINANCIAL GROUP;MITSUBISHI UFJ
MIZUHO FINANCIAL GROUP;MIZUHO
MORGAN STANLEY;MORGAN STANLEY
M_T BANK CORPORATION;MT BANK
NORTHERN TRUST CORPORATION;NORTHERN TRUST
NORTHERN TRUST CORPORATION(1);NORTHERN TRUST
REGIONS FINANCIAL CORPORATION;REGIONS FINANCIAL CORPORATION
ROYAL BANK OF CANADA;ROYAL BANK OF CANADA
SOCIETE GENERATE;SOCIETE GENERALE
STANDARD CHARTERED PLC;STANDARD CHARTERED
STATE STREET CORPORATION;STATE STREET
SUMITOMO MITSUI FINANCIAL GROUP;SUMITOMO MITSUI
SUNTRUST BANKS, INC;SUNTRUST
SUNTRUST BANKS, INC_;SUNTRUST
THE BANK OF NEW YORK MELLON CORPORATION;BANK OF NY MELLON
THE GOLDMAN SACHS GROUP;GOLDMAN SACHS
THE GOLDMAN SACHS GROUP, INC;GOLDMAN SACHS
THE GOLDMAN SACHS GROUP, INC_;GOLDMAN SACHS
THE NORINCHUKIN BANK;NORINCHUKIN
THE PNC FINANCIAL SERVICES GROUP, INC_;PNC FINANCIAL
THE TORONTODOMINION BANK;TORONTO DOMINION BANK
TORONTODOMINION BANK;TORONTO DOMINION BANK
U.S. BANCORP;US BANCORP
UBS;UBS
UBS GROUP AG;UBS
WELLS FARGO _ COMPANY;WELLS FAGO
ZIONS BANCORPORATION;ZIONS